Folder	Time Domain	HPS	FFT	Sample	Midi	HN Offset	Expected	TD	HPS	FFT	Praat	Average	Stdev	Use	Actual MIDI	+Cents	
/002931/Samples/Ch. Claribel Flute 8	/002931/Samples/Ch. Claribel Flute 8	/002931/Samples/Ch. Claribel Flute 8	/002931/Samples/Ch. Claribel Flute 8														
/002931/Samples/Ch. Claribel Flute 8																	
/002931/Samples/Ch. Claribel Flute 8	048-c.wav	048-c.wav	048-c.wav														
/002931/Samples/Ch. Claribel Flute 8	Detected = 129.89 Hz	detected pitch = 65.09 Hz	detected pitch = 129.83 Hz	048-c.wav	48.00	0.00	130.81	129.89	65.09	129.83		108.27	37.39	129.86	47.8734430887335	12.6556911266491	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=47	MIDIKeyNumber=35	MIDIKeyNumber=47	Detected = 129.89 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=87.712812	MIDIPitchFraction=91.681203	MIDIPitchFraction=87.006473	MIDIKeyNumber=47	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	049-c#.wav	049-c#.wav	049-c#.wav	MIDIPitchFraction=87.712812	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 137.97 Hz	detected pitch = 137.73 Hz	detected pitch = 137.76 Hz	049-c#.wav	49.00	0.00	138.59	137.97	137.73	137.76		137.82	0.13	137.82	48.9033808655964	9.66191344036531	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=48	MIDIKeyNumber=48	MIDIKeyNumber=48	Detected = 137.97 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	MIDIPitchFraction=92.172332	MIDIPitchFraction=89.210759	MIDIPitchFraction=89.627781	MIDIKeyNumber=48	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	050-d.wav	050-d.wav	050-d.wav	MIDIPitchFraction=92.172332	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
/002931/Samples/Ch. Claribel Flute 8	Detected = 145.91 Hz	detected pitch = 48.97 Hz	detected pitch = 145.91 Hz	050-d.wav	50.00	0.00	146.83	145.91	48.97	145.91		113.596666666667	55.97	145.91	49.8909028628863	10.9097137113736	
/002931/Samples/Ch. Claribel Flute 8	MIDIKeyNumber=49	MIDIKeyNumber=30	MIDIKeyNumber=49	Detected = 145.91 Hz	#VALUE!	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	
